"Metric","Value","Page"
"Number of redirects to this page","0","Martina_Stamm-Fibich"
"Counted as a content page","Yes","Martina_Stamm-Fibich"
"Wikidata item ID","Q15813133","Martina_Stamm-Fibich"
"Local description","German politician","Martina_Stamm-Fibich"
"Central description","German politician","Martina_Stamm-Fibich"
"Page image","","Martina_Stamm-Fibich"
"Page views in the past 30 days","38","Martina_Stamm-Fibich"
"Display title","Svenja Stadler","Svenja_Stadler"
"Default sort key","Stadler, Svenja","Svenja_Stadler"
"Page length (in bytes)","4,035","Svenja_Stadler"
"Namespace ID","0","Svenja_Stadler"
"Page ID","63435521","Svenja_Stadler"
"Page content language","en - English","Svenja_Stadler"
"Page content model","wikitext","Svenja_Stadler"
"Indexing by robots","Allowed","Svenja_Stadler"
"Number of page watchers","Fewer than 30 watchers","Svenja_Stadler"
"Number of redirects to this page","0","Svenja_Stadler"
"Counted as a content page","Yes","Svenja_Stadler"
"Wikidata item ID","Q15813114","Svenja_Stadler"
"Local description","German politician","Svenja_Stadler"
"Central description","German politician","Svenja_Stadler"
"Page image","","Svenja_Stadler"
"Page views in the past 30 days","44","Svenja_Stadler"
"Display title","Bernd Westphal","Bernd_Westphal"
"Default sort key","Westphal, Bernd","Bernd_Westphal"
"Page length (in bytes)","5,242","Bernd_Westphal"
"Namespace ID","0","Bernd_Westphal"
"Page ID","63436155","Bernd_Westphal"
"Page content language","en - English","Bernd_Westphal"
"Page content model","wikitext","Bernd_Westphal"
"Indexing by robots","Allowed","Bernd_Westphal"
"Number of page watchers","Fewer than 30 watchers","Bernd_Westphal"
"Number of redirects to this page","0","Bernd_Westphal"
"Counted as a content page","Yes","Bernd_Westphal"
"Wikidata item ID","Q15114148","Bernd_Westphal"
"Local description","German politician","Bernd_Westphal"
"Central description","German politician","Bernd_Westphal"
"Page image","","Bernd_Westphal"
"Page views in the past 30 days","85","Bernd_Westphal"
"Display title","Bettina Müller","Bettina_Müller"
"Default sort key","Bettina Müller","Bettina_Müller"
"Page length (in bytes)","289","Bettina_Müller"
"Namespace ID","0","Bettina_Müller"
"Page ID","48069082","Bettina_Müller"
"Page content language","en - English","Bettina_Müller"
"Page content model","wikitext","Bettina_Müller"
"Indexing by robots","Allowed","Bettina_Müller"
"Number of page watchers","Fewer than 30 watchers","Bettina_Müller"
"Number of redirects to this page","3","Bettina_Müller"
"Counted as a content page","Yes","Bettina_Müller"
"Wikidata item ID","Q15792682","Bettina_Müller"
"Local description","Topics referred to by the same term","Bettina_Müller"
"Central description","Wikimedia disambiguation page","Bettina_Müller"
"Page views in the past 30 days","9","Bettina_Müller"
"Display title","Bernd Rützel","Bernd_Rützel"
"Default sort key","Rutzel, Bernd","Bernd_Rützel"
"Page length (in bytes)","3,690","Bernd_Rützel"
"Namespace ID","0","Bernd_Rützel"
"Page ID","63434000","Bernd_Rützel"
"Page content language","en - English","Bernd_Rützel"
"Page content model","wikitext","Bernd_Rützel"
"Indexing by robots","Allowed","Bernd_Rützel"
"Number of page watchers","Fewer than 30 watchers","Bernd_Rützel"
"Number of redirects to this page","0","Bernd_Rützel"
"Counted as a content page","Yes","Bernd_Rützel"
"Wikidata item ID","Q15792620","Bernd_Rützel"
"Local description","German politician","Bernd_Rützel"
"Central description","German politician","Bernd_Rützel"
"Page image","","Bernd_Rützel"
"Page views in the past 30 days","43","Bernd_Rützel"
"Display title","Daniel Föst","Daniel_Föst"
"Default sort key","Fost, Daniel","Daniel_Föst"
"Page length (in bytes)","4,202","Daniel_Föst"
"Namespace ID","0","Daniel_Föst"
"Page ID","63380480","Daniel_Föst"
"Page content language","en - English","Daniel_Föst"
"Page content model","wikitext","Daniel_Föst"
"Indexing by robots","Allowed","Daniel_Föst"
"Number of page watchers","Fewer than 30 watchers","Daniel_Föst"
"Number of redirects to this page","1","Daniel_Föst"
"Counted as a content page","Yes","Daniel_Föst"
"Wikidata item ID","Q15804500","Daniel_Föst"
"Local description","German politician (born 1976)","Daniel_Föst"
"Central description","German politician","Daniel_Föst"
"Page image","","Daniel_Föst"
"Page views in the past 30 days","45","Daniel_Föst"
"Display title","Marie-Agnes Strack-Zimmermann","Marie-Agnes_Strack-Zimmermann"
"Default sort key","Strack-Zimmermann, Marie-Agnes","Marie-Agnes_Strack-Zimmermann"
"Page length (in bytes)","12,179","Marie-Agnes_Strack-Zimmermann"
"Namespace ID","0","Marie-Agnes_Strack-Zimmermann"
"Page ID","63389266","Marie-Agnes_Strack-Zimmermann"
"Page content language","en - English","Marie-Agnes_Strack-Zimmermann"
"Page content model","wikitext","Marie-Agnes_Strack-Zimmermann"
"Indexing by robots","Allowed","Marie-Agnes_Strack-Zimmermann"
"Number of page watchers","Fewer than 30 watchers","Marie-Agnes_Strack-Zimmermann"
"Number of redirects to this page","0","Marie-Agnes_Strack-Zimmermann"
"Counted as a content page","Yes","Marie-Agnes_Strack-Zimmermann"
"Wikidata item ID","Q15391841","Marie-Agnes_Strack-Zimmermann"
"Local description","German politician","Marie-Agnes_Strack-Zimmermann"
"Central description","German politician","Marie-Agnes_Strack-Zimmermann"
"Page image","","Marie-Agnes_Strack-Zimmermann"
"Page views in the past 30 days","2,616","Marie-Agnes_Strack-Zimmermann"
"Display title","Yasmin Fahimi","Yasmin_Fahimi"
"Default sort key","Fahimi, Yasmin","Yasmin_Fahimi"
"Page length (in bytes)","10,239","Yasmin_Fahimi"
"Namespace ID","0","Yasmin_Fahimi"
"Page ID","43811714","Yasmin_Fahimi"
"Page content language","en - English","Yasmin_Fahimi"
"Page content model","wikitext","Yasmin_Fahimi"
"Indexing by robots","Allowed","Yasmin_Fahimi"
"Number of page watchers","Fewer than 30 watchers","Yasmin_Fahimi"
"Number of redirects to this page","0","Yasmin_Fahimi"
"Counted as a content page","Yes","Yasmin_Fahimi"
"Wikidata item ID","Q15606894","Yasmin_Fahimi"
"Local description","German politician (born 1967)","Yasmin_Fahimi"
"Central description","German politician","Yasmin_Fahimi"
"Page image","","Yasmin_Fahimi"
"Page views in the past 30 days","397","Yasmin_Fahimi"
"Display title","Christian Petry","Christian_Petry"
"Default sort key","Petry, Christian","Christian_Petry"
"Page length (in bytes)","6,072","Christian_Petry"
"Namespace ID","0","Christian_Petry"
"Page ID","63091500","Christian_Petry"
"Page content language","en - English","Christian_Petry"
"Page content model","wikitext","Christian_Petry"
"Indexing by robots","Allowed","Christian_Petry"
"Number of page watchers","Fewer than 30 watchers","Christian_Petry"
"Number of redirects to this page","2","Christian_Petry"
"Counted as a content page","Yes","Christian_Petry"
"Wikidata item ID","Q15794238","Christian_Petry"
"Local description","German politician","Christian_Petry"
"Central description","German politician","Christian_Petry"
"Page image","","Christian_Petry"
"Page views in the past 30 days","38","Christian_Petry"
"Display title","Konstantin Kuhle","Konstantin_Kuhle"
"Default sort key","Kuhle, Konstantin","Konstantin_Kuhle"
"Page length (in bytes)","8,345","Konstantin_Kuhle"
"Namespace ID","0","Konstantin_Kuhle"
"Page ID","63383765","Konstantin_Kuhle"
"Page content language","en - English","Konstantin_Kuhle"
"Page content model","wikitext","Konstantin_Kuhle"
"Indexing by robots","Allowed","Konstantin_Kuhle"
"Number of page watchers","Fewer than 30 watchers","Konstantin_Kuhle"
"Number of redirects to this page","0","Konstantin_Kuhle"
"Counted as a content page","Yes","Konstantin_Kuhle"
"Wikidata item ID","Q16216417","Konstantin_Kuhle"
"Local description","German politician (born 1989)","Konstantin_Kuhle"
"Central description","German politician","Konstantin_Kuhle"
"Page image","","Konstantin_Kuhle"
"Page views in the past 30 days","259","Konstantin_Kuhle"
"Display title","Albert Rupprecht","Albert_Rupprecht"
"Default sort key","Rupprecht, Albert","Albert_Rupprecht"
"Page length (in bytes)","3,549","Albert_Rupprecht"
"Namespace ID","0","Albert_Rupprecht"
"Page ID","63453595","Albert_Rupprecht"
"Page content language","en - English","Albert_Rupprecht"
"Page content model","wikitext","Albert_Rupprecht"
"Indexing by robots","Allowed","Albert_Rupprecht"
"Number of page watchers","Fewer than 30 watchers","Albert_Rupprecht"
"Number of redirects to this page","0","Albert_Rupprecht"
"Counted as a content page","Yes","Albert_Rupprecht"
"Wikidata item ID","Q1738272","Albert_Rupprecht"
"Local description","German politician","Albert_Rupprecht"
"Central description","German politician","Albert_Rupprecht"
"Page image","","Albert_Rupprecht"
"Page views in the past 30 days","55","Albert_Rupprecht"
"Display title","Felix Banaszak","Felix_Banaszak"
"Default sort key","Banaszak, Felix","Felix_Banaszak"
"Page length (in bytes)","10,398","Felix_Banaszak"
"Namespace ID","0","Felix_Banaszak"
"Page ID","69850286","Felix_Banaszak"
"Page content language","en - English","Felix_Banaszak"
"Page content model","wikitext","Felix_Banaszak"
"Indexing by robots","Allowed","Felix_Banaszak"
"Number of page watchers","Fewer than 30 watchers","Felix_Banaszak"
"Number of redirects to this page","0","Felix_Banaszak"
"Counted as a content page","Yes","Felix_Banaszak"
"Wikidata item ID","Q17591264","Felix_Banaszak"
"Local description","German politician (born 1989)","Felix_Banaszak"
"Central description","German politician","Felix_Banaszak"
"Page image","","Felix_Banaszak"
"Page views in the past 30 days","3,763","Felix_Banaszak"
"Display title","Stephan Brandner","Stephan_Brandner"
"Default sort key","Brandner, Stephan","Stephan_Brandner"
"Page length (in bytes)","4,929","Stephan_Brandner"
"Namespace ID","0","Stephan_Brandner"
"Page ID","62119523","Stephan_Brandner"
"Page content language","en - English","Stephan_Brandner"
"Page content model","wikitext","Stephan_Brandner"
"Indexing by robots","Allowed","Stephan_Brandner"
"Number of page watchers","Fewer than 30 watchers","Stephan_Brandner"
"Number of redirects to this page","0","Stephan_Brandner"
"Counted as a content page","Yes","Stephan_Brandner"
"Wikidata item ID","Q18176740","Stephan_Brandner"
"Local description","German politician (born 1966)","Stephan_Brandner"
"Central description","German politician","Stephan_Brandner"
"Page image","","Stephan_Brandner"
"Page views in the past 30 days","1,599","Stephan_Brandner"
"Display title","Paul Ziemiak","Paul_Ziemiak"
"Default sort key","Ziemiak, Paul","Paul_Ziemiak"
"Page length (in bytes)","15,243","Paul_Ziemiak"
"Namespace ID","0","Paul_Ziemiak"
"Page ID","56893094","Paul_Ziemiak"
"Page content language","en - English","Paul_Ziemiak"
"Page content model","wikitext","Paul_Ziemiak"
"Indexing by robots","Allowed","Paul_Ziemiak"
"Number of page watchers","Fewer than 30 watchers","Paul_Ziemiak"
"Number of redirects to this page","2","Paul_Ziemiak"
"Counted as a content page","Yes","Paul_Ziemiak"
"Wikidata item ID","Q18169686","Paul_Ziemiak"
"Local description","German politician","Paul_Ziemiak"
"Central description","German politician","Paul_Ziemiak"
"Page image","","Paul_Ziemiak"
"Page views in the past 30 days","391","Paul_Ziemiak"
"Display title","Simona Koß","Simona_Koß"
"Default sort key","Koss, Simona","Simona_Koß"
"Page length (in bytes)","6,192","Simona_Koß"
"Namespace ID","0","Simona_Koß"
"Page ID","70983437","Simona_Koß"
"Page content language","en - English","Simona_Koß"
"Page content model","wikitext","Simona_Koß"
"Indexing by robots","Allowed","Simona_Koß"
"Number of page watchers","Fewer than 30 watchers","Simona_Koß"
"Number of redirects to this page","0","Simona_Koß"
"Counted as a content page","Yes","Simona_Koß"
"Wikidata item ID","Q18222569","Simona_Koß"
"Local description","German politician","Simona_Koß"
"Central description","German politician","Simona_Koß"
"Page image","","Simona_Koß"
"Page views in the past 30 days","41","Simona_Koß"
"Display title","Christian Lindner","Christian_Lindner"
"Default sort key","Lindner, Christian","Christian_Lindner"
"Page length (in bytes)","39,957","Christian_Lindner"
"Namespace ID","0","Christian_Lindner"
"Page ID","18559515","Christian_Lindner"
"Page content language","en - English","Christian_Lindner"
"Page content model","wikitext","Christian_Lindner"
"Indexing by robots","Allowed","Christian_Lindner"
"Number of page watchers","54","Christian_Lindner"
"Number of page watchers who visited in the last 30 days","7","Christian_Lindner"
"Number of redirects to this page","2","Christian_Lindner"
"Counted as a content page","Yes","Christian_Lindner"
"Wikidata item ID","Q85806","Christian_Lindner"
"Local description","German politician, former Federal Minister of Finance","Christian_Lindner"
"Central description","German politician, member of the Free Democratic Party","Christian_Lindner"
"Page image","","Christian_Lindner"
"Page views in the past 30 days","18,014","Christian_Lindner"
"Display title","Ronja Kemmer","Ronja_Kemmer"
"Default sort key","Kemmer, Ronja","Ronja_Kemmer"
"Page length (in bytes)","5,991","Ronja_Kemmer"
"Namespace ID","0","Ronja_Kemmer"
"Page ID","63441914","Ronja_Kemmer"
"Page content language","en - English","Ronja_Kemmer"
"Page content model","wikitext","Ronja_Kemmer"
"Indexing by robots","Allowed","Ronja_Kemmer"
"Number of page watchers","Fewer than 30 watchers","Ronja_Kemmer"
"Number of redirects to this page","0","Ronja_Kemmer"
"Counted as a content page","Yes","Ronja_Kemmer"
"Wikidata item ID","Q19299319","Ronja_Kemmer"
"Local description","German politician","Ronja_Kemmer"
"Central description","German politician (CDU)","Ronja_Kemmer"
"Page image","","Ronja_Kemmer"
"Page views in the past 30 days","62","Ronja_Kemmer"
"Display title","Bernd Baumann","Bernd_Baumann"
"Default sort key","Baumann, Bernd","Bernd_Baumann"
"Page length (in bytes)","3,828","Bernd_Baumann"
"Namespace ID","0","Bernd_Baumann"
"Page ID","61660298","Bernd_Baumann"
"Page content language","en - English","Bernd_Baumann"
"Page content model","wikitext","Bernd_Baumann"
"Indexing by robots","Allowed","Bernd_Baumann"
"Number of page watchers","Fewer than 30 watchers","Bernd_Baumann"
"Number of redirects to this page","0","Bernd_Baumann"
"Counted as a content page","Yes","Bernd_Baumann"
"Wikidata item ID","Q19362177","Bernd_Baumann"
"Local description","German politician","Bernd_Baumann"
"Central description","German economist and politician (AfD)","Bernd_Baumann"
"Page image","","Bernd_Baumann"
"Page views in the past 30 days","310","Bernd_Baumann"
"Display title","Michael Müller","Michael_Müller"
"Redirects to","Michael Muller (info)","Michael_Müller"
"Default sort key","Michael Müller","Michael_Müller"
"Page length (in bytes)","103","Michael_Müller"
"Namespace ID","0","Michael_Müller"
"Page ID","42859371","Michael_Müller"
"Page content language","en - English","Michael_Müller"
"Page content model","wikitext","Michael_Müller"
"Indexing by robots","Allowed","Michael_Müller"
"Number of page watchers","Fewer than 30 watchers","Michael_Müller"
"Number of redirects to this page","0","Michael_Müller"
"Wikidata item ID","None","Michael_Müller"
"Page views in the past 30 days","4","Michael_Müller"
"Display title","Angelika Glöckner","Angelika_Glöckner"
"Default sort key","Glockner, Angelika","Angelika_Glöckner"
"Page length (in bytes)","10,324","Angelika_Glöckner"
"Namespace ID","0","Angelika_Glöckner"
"Page ID","62222956","Angelika_Glöckner"
"Page content language","en - English","Angelika_Glöckner"
"Page content model","wikitext","Angelika_Glöckner"
